doc_id,text,publication_date
https://digitalzibaldone.net/node/p1000_1,"Osservo ancora che Giuseppe Ebreo avendo scritto primieramente i suoi libri della Guerra Giudaica nella lingua sua patria, (qualunque fosse questa lingua, o l'Ebraica, come crede l'Ittigio, (nel Giosef. dell'Havercamp, t. 2. appendice. p. 80. colonna 2.) o la Sirocaldaica, come altri, (v. Basnag. Exercit. ad Baron. p. 388. Fabric. 3. 230. not. p)) in uso, com'egli dice, de' barbari dell'Asia superiore, cioè, com'egli stesso spiega (de Bello Iud. Proem. art. 2. edit. Haverc. {t. 2.} p. 48.) de' Parti, de' Babilonesi, degli Arabi più lontani dal mare, de' Giudei di là dall'Eufrate, e degli Adiabeni; (Fabric. l. c. Gioseffo l. c. p. 47. not. h.) volendo poi, com'egli dice, accomodarla all'uso de' sudditi dell'imperio ﻿ 1001 Romano, τοῖς κατὰ τὴν ῾Pωμαίων ἡγεμονίαν * , {e scrivendo in Roma,} giudicò, come pur dice, {(Fabric. 3. 229. fine e 231. principio.)} e come fece, di traslatarla {(non in latino)} in greco, ῾Eλλάδι γλώσσῃ μεταβαλεῖν * . (Idem, l. c. art. 1. p. 47.) E così traslatata la presentò a Vespasiano e a Tito, Impp. Romani. (Ittigio l. c. {Fabric. 3. 231. lin. 8.} Tillemont, Empereurs t. 1. p. 582.) (30. Aprile. 1821.).",1821
https://digitalzibaldone.net/node/p1004_2,"Tanto era l'odio degli antichi (quanti aveano una patria e una società) verso gli stranieri, e verso le altre patrie e società qualunque; che una potenza minima, o anche una città solo assalita da una nazione intera (come Numanzia da' Romani), non veniva mica a patti, ma resisteva con tutte le sue forze, e la resistenza si misurava dalle dette forze, non già da quelle del nemico; e la deliberazione di resistere era immãcabile[immancabile], e immediata, e senza consultazione vervna; e dipendeva dall'essere assaliti, non ﻿ 1005 già dalla considerazione delle forze degli assalitori e delle proprie, dei mezzi di resistenza, delle speranze che potevano essere nella difesa ec. E questa era, come ho detto [pp. 879-80], una conseguenza naturale dell'odio scambievole delle diverse società, dell'odio che esisteva nell'assalitore, e che obbligava l'assalito a disperare de' patti; dell'odio che esisteva nell'assalito, e che gl'impediva di consentire a soggettarsi in qualunque modo, malgrado qualunque utilità nel farlo, e qualunque danno nel ricusarlo, ed anche la intera distruzione di se stessi e della propria patria, come si vede nel fatto presso gli antichi, e fra gli altri, nel citato esempio di Numanzia.",1821
https://digitalzibaldone.net/node/p1009_3,"Nè queste qualità, che dico proprie delle lingue ﻿ 1010 antiche, si deve credere ch'io lo dica solamente in vista della greca e della latina, ma di tutte; ed alcune (come la varietà, ricchezza ec.) delle colte massimamente. Esse qualità infatti sono state notate nella lingua Celtica, (v. p. 994.) nella Sascrita, (v. Annali di scienze e lettere. Milano. Gennaio 1811. N.o. 13. p. 54. fine - 55.) (lingue coltissime) benchè sieno diversissime dalle nostrali; e così in tante altre. Nè bisognano esempi e prove di fatto, a chi sa che le dette e simili qualità derivano immancabilmente dalla natura, maestra e norma e signora e governatrice degli antichi e delle cose loro. (2. Maggio 1821.).",1821
https://digitalzibaldone.net/node/p1010_2,"Se i tedeschi oggidì hanno tanto a cuore, e stimano così utile l'investigare e il conoscere fondatamente le origini della loro lingua, e se il Morofio (Polyhist. lib. 4. cap. 4.) si lagnava che al suo tempo i suoi tedeschi fossero trascurati nello studiare le dette origini; Dolendum * ec. v. Andrès, luogo cit. qui sopra, p. 249. quanto più dobbiamo noi italiani studiare e mettere a profitto la lingua latina (che sono le nostre origini); lingua così suscettibile di perfetta ﻿ 1011 cognizione; lingua così ricca, così colta così letterata ec. ec.; lingua così copiosa di monumenti d'ogni genere {e di tanto pregio}: laddove per lo contrario la lingua teutonica originaria della tedesca (Andrès, ivi, p. 249. 251. 253. lin. 6. 14. 18. paragonando {anche} questi ultimi tre luoghi colla p. 266. lin. 9.) è difficilissima a conoscere con certezza, e impossibile a conoscere se non in piccola parte, è lingua illetterata ed incolta, e scarsissima di monumenti, e quelli che ne restano sono per se stessi di nessun pregio (Andrès, 249-254.) {+Aggiungete che l'esser la lingua latina universalmente conosciuta, e stata in uso nel mondo, ed ancora in uso in parecchie parti della vita civile, non solo giova alla ricchezza della fonte ec. ma anche al poterne noi attingere con assai più franchezza. Se la lingua teutonica fosse pure stata altrettanto grande e ricca, ed a forza di studio si potesse pur tutta conoscere ec. che cosa si potrebbe attingere da una lingua dimenticata, e nota ai soli dotti ec. ec.? chi potrebbe intendere a prima giunta le parole che se ne prendessero? ec. V. p. 3196.} (4. Maggio 1821.).",1821
https://digitalzibaldone.net/node/p1011_2,"Alla p. 952. Meno straniera è la lingua francese all'inglese (e perciò meno inetta ad esserle fonte di vocaboli ec.) a cagione dell'affinità che questa seconda lingua prese colla prima, dopo l'introduzione della lingua francese in inghilterra, mediante la conquista fattane dai Normanni (Andrès, luogo cit. di sopra, p. 252. fine, 255. fine-256. principio. Annali di Scienze e lettere. Milano. Gennaio 1811. N.o 13. p. 30. fine.) ﻿ 1012 Laddove la lingua tedesca, secondo che il Tercier ha ben ragione di asserire * , (Ac. des Inscr. tome 41.) fra tutte le lingue che attualmente parlansi in europa, più d'ogni altra conserva i vestigi della sua anzianità * (Andrès, ivi p. 251-252.); e più tenace e costante di tutte le altre, ha saputo conservare dell'antica sua madre maggior numero di vocaboli, maggior somiglianza nell'andamento, e maggiore affinità nella costruzione. * (ivi. p. 253. principio.) (4. Maggio 1821.).",1821
https://digitalzibaldone.net/node/p1012_1,"Alla p. 995 principio. Cedette alla romana in modo che nella moderna lingua francese, per confessione del Bonamy (Discours sur l'introduction de la langue latine dans les Gaules: dans les Mémoires de l'Ac. des inscr. tome 41.), pochissime parole celtiche sono rimase; e nella provenzale, al dire dell'Astruc (Ac. des Inscr. tome 41.), appena trovasi una trentesima parte di voci gallesi; * siccome la lingua spagnuola, tutta figlia della latina, non più conserva alcun vestigio dell'antico parlare di quelle genti. * (Andrès, luogo cit. di sopra, p. 252.) (4. Maggio 1821.).",1821
https://digitalzibaldone.net/node/p1013_1,"Alla p. 999. Così chi sapesse l'antica lingua teutonica, non intenderebbe perciò la tedesca, senza espresso e fondato studio (Andrès, loco cit. di sopra, (p. 1010.) p. 253.); non ostante che la tedesca, secondo il Tercier, ec. v. p. ﻿ 1014 1012. principio. (5. Maggio 1821.).",1821
https://digitalzibaldone.net/node/p1014_1,"La vantata duttilità * della lingua francese, (Spettatore di Milano. Quaderno 93. p. 115. lin. 14.) oltre alle qualità notate in altro pensiero [p. 30] [pp. 787-88] [p. 838], ha questa ancora, che non è punto compagna della varietà: e la lingua francese benchè duttilissima, è sempre e in qualunque scrittore paragonato cogli altri, uniforme e monotona. Cosa che a prima vista non par compatibile colla duttilità, ma in vero questa è una qualità diversissima dalla ricchezza, dall'ardire, e dalla varietà. (5. Maggio 1821.).",1821
https://digitalzibaldone.net/node/p1014_2,"Alla p. 991. Così Beda inglese, nonostante che la sua lingua nazionale (cioè l'anglo-sassone: (Andrès, loc. cit. (p. 1010.) p. 255. fine.) diversa dalla Celtica, stabilita nella Scozia e nel paese di Galles) fosse adoperata anche in usi letterarii, come si rileva da quello ch'egli stesso riferisce di un Cedmone monaco Benedettino illustre poeta improvvisatore nella sua lingua. * (Andrès, p. 254.) Cosa la quale, se non altro, dimostra ch'ella era una lingua già ridotta a una certa forma (lo riferirà forse il Beda nella Storia Ecclesiastica degli Angli.) (5. Maggio 1821.).",1821
https://digitalzibaldone.net/node/p1014_3,"L'u francese, del quale ho discorso in altro pensiero [pp. 54-55], potè essere introdotto in Francia mediante le Colonie greche, come Marsiglia ec.",1821
